jan,apr,aug
26.25,12.52,1.95
25.01,12.56,2.27
24.47,13.13,2.09
24.17,13.46,2.11
24.25,12.53,6.96
22.79,13.84,4.95
23.02,14.07,4.46
20.57,15.93,5.31
21.45,14.76,5.38
23.49,15.05,1.62
20.97,13.47,2.8
20.47,12.9,2.69
20.36,14.68,1.8
20.4,13.22,1.79
20.61,15.15,2.93
20.42,12.84,8.63
20.72,13.34,1.58
20.11,12.71,1.89
19.1,12.69,1.73
20.36,12.5,1.64
19.78,12.8,3.13
18.12,12.64,5.01
17.99,13,3.14
16.9,12.44,2.67
21.25,12.81,3.64
17.43,13.04,1.91
15.84,12.7,1.97
15.5,12.17,2.39
13.65,13.21,2.4
10.24,12.86,3.38
10.19,13.61,2.89
9.54,13.64,2.79
10.07,13.82,2.81
9.66,14.02,2.84
11.02,14.59,2.18
11.23,13.55,3.38
10.81,14.04,2.84
10.51,13.52,3.01
11.73,13.55,2.14
13.19,14,2
15.66,14.13,3.19
13.9,13.94,2.31
9.54,13.86,2.54
9.03,13.38,2.21
9.01,13.69,2.6
9.56,13.59,2.03
9.89,14.08,2.53
10.14,14.22,2.18
9.06,14.04,2.31
8.9,14.09,1.99
9.83,14.34,2.14
11.06,14.2,2.13
11.23,13.66,2.36
10.26,14.03,2.27
21.07,16.44,2.44
10.08,11.02,2.2
10.9,10.78,2.23
13.03,10.93,2.3
12.58,10.31,2.75
11.08,10.32,3.49
19.45,10.51,2.65
14.24,10.02,2.21
11.17,10.52,2.19
11.45,10.35,2.41
12.42,9.74,2.59
17.99,9.45,2.08
17.21,10.12,2.01
13.24,9.55,2.2
13.25,10.93,3.04
14.95,8.88,3.91
14.58,9.72,3.38
14.67,10,2.61
18.25,9.19,2.56
15.93,10.15,2.43
16.94,10.73,3.04
17.1,11.02,2.57
15.72,10,2.09
16.44,10.27,2.55
15.05,9.97,3.01
21.7,10.12,2.76
16.42,9.68,2.25
22.08,10.17,2.05
20.11,10.58,2.44
18.77,9.37,3.78
16.41,9.9,3.31
20.12,10.43,3.6
15.73,9.97,3.46
14.04,9.88,4.75
16.47,9.78,3.61
18.82,10.21,4.49
27.35,10.11,4.09
25.66,10.34,4.37
25.99,10.76,5.25
27.82,10.6,5.02
31.41,11.18,4.56
29.84,10.25,5.02
29.98,10.02,3.41
37.86,11.1,3.47
39.11,10.46,2.99
32.95,10.58,4.84
30.3,11.62,4.08
31.77,11.86,3.66
25.28,11.64,3.74
24.56,11.37,3.45
24.86,12.23,2.39
21.8,11.59,2.79
21.38,13.22,2.68
21.06,10.5,3.81
19.81,9.8,3.15
20.24,10.75,1.98
22.62,10.17,1.99
21.96,11.3,1.62
22.59,9.25,1.43
21.77,10.66,1.22
21.53,14.91,1.92
22.33,14.4,1.81
22.56,15.37,0.89
24.66,17.51,1.2
24.73,18.85,1.29
24.21,18.03,1.19
23.7,18.57,1.44
23.77,19.69,1.31
25.12,18.12,1.36
25.52,18.47,1.34
23.01,19.9,1.36
23.61,19.95,1.16
24.9,20,1.24
26.6,19.93,1.16
25.67,19.26,1.53
26.61,18.16,1.91
26.29,17.12,1.3
25.93,17.14,1.4
25.22,16.1,1.4
24.59,15.63,1.3
26.16,15.79,1.28
25.83,16.32,1.42
27.21,17.57,1.43
27.59,20.6,1.36
29.96,23.99,1.46
26.37,23.12,1.66
25.11,22.53,1.85
29.64,21.64,1.44
26.35,22.8,1.55
24.1,21.31,1.26
22.58,21.91,2.13
23.45,18.97,1.84
22.2,21.3,1.69
21.64,20.24,1.24
22.89,20.57,1.63
23.05,19.19,1.49
23,16.41,1.23
25.8,16.04,1.34
23.98,17.14,1.28
27.66,15.74,1.94
27.29,15.68,1.39
26.04,14.55,1.51
25.7,14.31,1.31
24.37,14.46,1.33
24.29,14.8,0.98
23.99,14.76,1.36
26.85,14.54,1.38
23.93,15.1,1.37
22.18,15.05,1.82
22.1,14.91,1.49
20.93,14.93,1.46
20.88,13.92,3.05
21.05,13.89,2.76
18.83,13.66,4.43
17.82,13.07,2.76
17.59,13.77,2.9
16.61,13.97,2.87
17.31,14.71,3.23
15.38,16.78,3.84
15.87,18.56,2.62
14.33,12.96,4.33
15.34,13.73,3.23
14.34,13.3,2.16
15.29,12.43,2.24
15.75,12.87,2.24
15.7,13.19,1.77
14.98,12.94,1.56
14.43,12.79,1.48
14.64,12.36,1.6
14.04,11.63,2.68
15.81,11.83,1.38
15.54,11.91,1.4
15.93,11.72,1.88
15.62,12.19,2.03
16.28,11.1,1.93
19.94,11.64,2.35
21.57,11.67,2.07
23.74,11.1,2.66
24.96,11.59,2.64
26.61,10.74,2.17
25.14,11.39,2.2
24.82,10.75,1.78
24.77,11.65,1.8
25.7,11.02,1.54
24.01,11.27,2.49
30.08,12.08,3.13
29.18,11.94,3.97
39.81,11.22,3.89
28.96,10.9,4.2
38.88,11.14,4.72
41.28,11.16,2.04
43.43,11.81,1.63
44.15,11.87,1.85
37.02,11.78,1.98
39.52,11.42,3.43
42.7,10.83,2.41
41.55,11.11,1.3
43.92,11.21,1.39
45.97,10.79,1.84
36.9,10.61,1.48
40.43,10.32,2.23
37.94,10.64,2.37
38.83,10.69,4.33
34.03,10.73,3.58
33.87,10.88,2.97
33.32,10.5,3.29
28.35,10.85,3.01
27.15,11.04,4.56
26.62,10.81,3.29
29.18,10.82,5.2
23.16,11.21,2.7
22.81,11.08,2.88
24.47,10.92,2.58
23.45,11.01,1.54
23.42,10.59,2.6
23.88,10.69,1.33
25.33,10.36,1.92
24.41,10.99,1.25
25.44,10.51,1.01
25.56,11.05,1.24
24.77,11.12,1.79
25.7,11.64,1.71
26.36,12.45,2.11
25.95,11.74,3
27.83,12.44,3.24
27.19,12.54,2.74
28.69,12.44,3.66
28.14,12.31,3.09
28.3,11.62,3.52
30.15,12.55,3.11
26.89,11.67,3.23
28.26,11.62,3.51
26.93,12.23,3.37
27.72,11.96,2.75
29.02,10.92,3.18
29.66,10.96,3.82
25.74,10.21,3.55
26.92,10,8.01
26.76,9.51,5.77
27.68,8.59,3.47
26.49,8.03,5.32
26.22,8.16,4.78
27.17,8.69,4.66
28.79,8.45,2.88
29.27,8.16,2.46
28.54,8.55,2.62
29.94,8.94,2.96
28.95,8.35,3.96
30.46,8.81,2.7
30.64,8.18,3.74
32.27,8.2,2.63
32.95,8.55,3.19
32.1,8.16,7.28
32.91,7.78,2.63
33.63,8.01,2.39
34.27,8.59,1.71
34.68,8.39,2.32
37.79,8.45,5.02
36.18,8.75,4.62
36.52,8.9,4.14
37.9,9.58,4.09
40.04,9.65,12.5
39.19,9.62,4.48
40.71,9.45,3.56
43.69,9.88,4.24
43.49,9.1,3.8
47.11,8.72,5.12
52.74,9.71,4.64
54.28,9.95,5.59
58.48,9.68,5.35
58.01,9.27,4.81
55.66,9.84,3.59
60.85,9.81,4.19
59.71,10.58,6.2
54.49,9.24,4.59
52.65,9.22,5.63
49.02,10.45,3.79
49.36,10.34,4.01
45.07,10.7,2.98
37.74,10.16,2.92
35.45,10.29,2.7
34.81,10.87,2.74
34.41,10.25,3.28
34.53,10.12,3.28
34.93,11.76,2.75
36,11.16,2.53
35.88,13.02,2.41
37.23,11.8,2.41
37.79,13.51,2.19
34.01,14.66,2.2
36.4,15.14,2.43
32.81,14.05,2.12
31.58,13.67,2.09
29.58,14.16,1.93
26.04,14.53,1.87
25.76,13.11,1.68
25.14,12.88,1.46
25.05,13.43,1.42
24.25,13.29,1.52
25.52,15.14,1.45
24.94,19.46,1.56
25.66,20.62,1.93
24.16,20.54,1.69
23.59,17.63,1.43
27.98,17.22,1.72
25.65,18.02,1.57
26.02,20.2,1.43
23.09,19.56,1.5
23.22,16.26,1.78
23.41,16.2,1.58
20.31,17.57,1.7
23.38,19.01,1.48
21.45,21.17,1.41
26.03,22.12,2.19
22.38,20.7,1.94
22.47,20.97,1.99
22.38,20.1,1.72
24.07,20.85,2.14
23.96,20.6,2.16
23.3,20.4,2.31
21.14,19.62,2.17
22.42,18.1,2.17
19.18,18.78,2.05
22.96,16.72,2.16
21.08,15.45,2.14
19.89,15.41,2.3
21.28,15.49,1.83
23.34,15.12,1.46
20.06,15.16,1.75
22.75,13.85,1.03
25.91,14.32,1.04
22.96,13.74,0.98
23.01,14.38,1.03
23.8,13.91,1.32
22.56,13.49,1.07
23.12,14.01,1.29
27.39,13.27,1.21
23.82,13.61,1.51
20.8,13.05,1.63
25.16,13.48,2.08
20.91,12.87,1.88
19.95,13.04,1.72
23.86,12.57,1.7
24.88,12.86,1.75
25.01,13.82,1.83
28.42,12.08,1.65
27.79,12,1.62
36.63,12.15,1.59
36.5,12.16,1.4
36.26,12.68,1.65
34.26,12.44,1.55
35.03,12.29,1.56
37.65,13.11,2.34
37.67,12.88,2.28
36.03,12.4,2.14
34.85,11.79,2.39
39.3,12.18,2.21
37.76,12.24,2.43
38.95,12.43,2.39
40.06,12.51,1.93
58.6,12.04,1.42
65.06,12.15,1.78
70.06,12.48,1.9
69.68,13,1.24
63.83,13.13,1.36
62.47,13.72,1.82
63.72,12.72,1.41
67.24,12.86,0.96
73.74,12.75,1.2
72.14,12.66,1.01
72.32,12.67,1.06
74.63,12.29,1.1
76,12.48,1.43
76.05,13.57,1.56
70.17,13.41,2.03
70.57,12.77,2.21
74.37,12.48,2.4
71.33,12.32,4.27
69.92,12.27,2.73
57.55,13.38,2.02
53.48,12.41,2.56
45.5,11.93,2.34
44.48,11.75,1.9
42.25,11.7,4.4
40.25,13.81,1.03
41.3,12.55,0.69
43.65,11.49,0.96
43.56,12.26,1.56
43.26,11.7,1.8
42.04,11.4,3.36
38.19,11.75,4.83
39.93,11.6,1.72
41.32,12.26,2.24
39.97,12.24,2.1
38.93,11.81,1.9
51.99,11.99,3.55
51.77,11.66,3.1
62.37,11.93,3.46
64.45,11.61,1.84
66.22,10.94,1.97
62.92,11.21,1.8
64.1,11.43,1.76
62.77,10.9,2.54
64.85,11.16,2.7
63.99,11.15,1.7
64.41,10.88,2.94
67.49,10.65,1.99
68.74,10.8,2.1
71.74,11.36,1.9
70.31,10.64,1.74
69.2,11.09,2.43
70,10.4,2.32
67.69,10.71,2.23
64.7,11.02,1.77
63.94,11.98,2.06
62.15,11.56,2.02
61.03,13.45,2.17
59.53,14.52,2.79
59.22,13.65,3.05
60.36,13.69,2.81
61.35,14.35,3.09
63.96,14.02,3.78
71.86,13.84,2.15
68.35,13.89,2.71
71.91,13.59,2.24
72.27,13.4,2.22
75.68,12.34,1.88
75.22,11.99,2.32
77.67,11.93,3.21
83.91,12.12,2.97
85.86,11.13,3.9
91.47,11.64,2.38
93.78,11.96,2.22
80.15,9.54,2.6
63.91,9.65,2.23
59.32,9.33,2.43
59.11,9.9,2.22
64.01,9.38,3.91
63.96,9.4,3.52
67.79,9.36,2.34
69.89,9.13,2.36
71.86,9.17,2.43
69.43,9.18,2.11
69.84,9.58,2.16
69.23,8.99,2.37
68.35,9.68,2.03
66.82,9.86,2.11
67.08,9.57,3.57
65.69,9.45,1.97
65.6,10.74,2.26
66.34,10.64,2.71
63.54,10.77,2.28
64.44,10.54,2.47
63.83,10.65,2.44
63.1,11.02,2.52
62.37,11.02,2.02
59.73,11.57,4.18
60.39,11.25,2.9
60.45,11.87,2.86
60.24,11.48,3.54
60.3,11.28,3.24
55.28,11.91,2.75
53.78,12.28,2.65
51.8,11.4,2.68
49.56,11.53,3.32
47.51,12.16,3.97
46.62,11.55,3.88
46.25,12.25,3.1
43.65,12.4,2.92
42.47,12.26,3.49
40.15,12.4,2.31
38.71,11.47,2.27
36.66,11.72,2.28
37.62,12.08,2.67
38.28,11.75,2.75
37.98,11.7,2.48
40.68,13.07,2.43
39.09,12.1,2.17
38.17,12.46,1.98
38.4,13.45,2.02
37.16,12.08,2.76
34.77,12.51,1.91
36.08,11.67,1.35
39.16,12.81,1.82
36.73,12.96,1.73
34.37,13.13,1.36
37.29,13.47,1.36
33.86,13.6,1.23
33.53,13.73,1.21
33.3,16.62,1.39
37.63,17.41,1.66
36.58,18.33,1.29
30.23,21.61,1.19
32.36,19.38,1.21
30.85,18.26,1.49
26.92,20.62,1.1
30.42,21.07,0.97
26.52,23.81,1.76
25.81,26.93,1.26
29.69,26.51,1.38
34,28.11,1.59
34.85,27.73,1.25
25.5,28.49,1.06
23.95,26.98,1.11
26.37,26.12,1.1
28.54,24.33,1.01
27.39,23.43,1.24
23.41,23.04,1.43
23.56,20.67,1.22
24.54,19.47,1.26
24.26,17.61,1.16
21.95,17.82,1.05
32.69,17.5,1.26
23.07,16.99,1.08
23.54,16.68,1.36
22.52,16.3,1.02
27.79,16.12,1.13
24.7,15.88,1.89
26.59,15.72,1.2
26.16,15.26,1.01
25.9,14.57,1.22
24.03,14.07,1.43
24.91,13.4,1.21
24.19,14.45,1.22
25.95,13.47,1.15
23.5,13.62,1.08
25.2,12.77,1.31
24.07,12.47,1.39
25.63,12.75,1.29
26.25,13.37,1.3
26.16,12.47,1.34
27.08,12.49,1.43
24.53,12.92,1.34
25.58,12.46,1.54
26.64,12.81,1.34
30.38,13.66,2.01
25.91,13.86,1.71
25.71,15.02,1.64
27.73,12.56,1.56
32.35,12.52,1.58
34.14,12.25,1.94
37.77,12.46,1.76
38.94,12.46,1.59
35.69,12.73,1.68
39.44,12.18,1.28
35.99,11.73,2.1
33.07,12.17,2.36
36.74,12.27,2.01
34.96,12.7,2.39
33.1,13.99,1.98
31.2,16.07,2.34
30.26,16.32,1.74
29.84,16.08,1.77
28.99,25.55,2.1
31.85,24.29,2.2
34.94,17.39,2.01
36.08,12.52,1.88
35.16,11.3,2.15
37.78,12.01,2.15
35.38,12.24,1.91
37.01,12.2,2.08
36.81,11.27,2.61
40.72,11.63,2.09
42.16,12.01,2.1
46.67,11.45,2.34
48.44,13,1.99
49.47,12.56,3.1
48.62,12.55,1.85
47.47,13.55,2.37
50.77,14.44,2.2
48.84,13.78,2.23
50.52,13.13,2.2
53.1,13.23,2.53
49.67,12.72,1.75
49.17,12.14,1.5
51.74,11.16,1.78
55.86,11.12,2.17
57.98,11.21,1.95
49.48,11,1.66
41.39,10.46,1.83
43.13,11.56,1.45
42.1,11.41,1.83
43.8,12.55,1.75
46.34,12.62,1.3
44.8,12.49,1.6
45.89,11.99,0.95
46.64,11.28,1.01
45.17,11.17,1.18
45.5,11.31,1.06
45.37,11.59,1.46
46.58,12.45,1.66
45.65,11.59,1.9
49.01,12.6,3.2
47.28,10.99,1.54
49.66,10.22,1.5
52.53,10.81,1.39
53.36,12.08,1.54
52.6,11.99,1.9
50.84,12.33,1.77
52.81,12.75,2.18
51.4,13.26,1.89
54.74,13.42,2.46
52.12,14.66,1.89
51.35,15.85,1.54
49.54,15.84,1.95
48.37,14.5,2.94
52.58,14.09,1.68
55.1,15.77,2.08
57.61,17.13,1.89
57.23,16.37,1.46
54.78,14.97,1.7
53.25,16.41,1.8
52.6,15.67,2.18
51,15.68,1.96
54.3,17.14,2.27
53.59,16.86,1.91
53.39,17.79,2.4
51.33,16.52,2.52
49.06,16.89,1.69
46.97,17.12,2.09
47.7,14.39,1.58
49.97,12.92,1.68
49.14,13.24,2.32
50.29,12.25,2.23
51.52,12.16,1.44
51.12,12.99,1.58
50.41,11.52,4.59
51.04,11.24,2.89
52.14,10.19,1.65
52.65,10.37,1.4
52.19,10.08,2.3
51.82,9.77,1.41
52.29,10.17,1.65
52.63,10.3,2.27
51.53,10.17,1.83
49.77,10.24,2.21
49.56,10.95,1.77
53.04,10.27,1.99
54.55,10.4,1.53
57.5,10.43,2.05
51.8,10.43,2.04
52.42,9.91,2.68
56.86,10.81,1.95
50.17,10.07,2.36
44.6,9.53,2.67
44.69,9.79,3.53
44.08,9.76,3.26
41.7,10.34,2.44
42.1,9.45,2.86
40.38,9.69,2.85
40.45,9.23,2.14
39.71,9.54,2.38
40.31,9.52,2.04
38.48,9.39,3.37
36.89,10.35,4.02
37.72,9.42,3.82
37.37,9.05,5.53
36.53,9.44,4.95
38.51,10.22,4.04
37.23,9.8,4.93
36.15,10.07,7.13
36.39,10.16,4.84
37.41,11.83,6.86
39.11,10.23,5.07
40.09,9.2,4.96
41.37,9.89,6.31
39.5,9.52,5.27
38.97,10.48,4.5
37.51,9.72,3.72
39.36,10.03,2.75
41.43,10.81,3.92
38.41,11.54,2.73
45.73,12.06,3.15
38.54,11.87,2.7
47.07,11.71,1.82
40.84,11.69,2.21
37.55,11.4,2.22
40.76,11.18,1.9
37.71,11.26,2.85
42.96,11.57,1.47
31.79,10.46,1.12
35.79,10.59,1.15
41.26,15.06,1.02
33.52,14.39,1.12
33.61,12.94,1.83
36.97,12.84,1.38
34.37,14.28,1.24
39.08,14.79,1.47
30.06,14.97,1.84
33.84,16.87,1.41
33.89,16.69,1.36
30.99,16.37,1.24
30.28,16.34,1.77
33.62,23.47,1.74
32.71,24.78,1.36
31.31,24.57,1.14
29.31,21.42,1.96
30.72,23.39,1.8
36.02,25.1,2
28.51,23.35,1.5
33.13,25.01,1.73
29.64,22.24,1.78
31.37,22.09,1.66
29.39,20.83,1.34
27.86,20.47,1.48
27.54,26.74,1.17
28.79,17.06,1.22
34.44,15.85,1.73
30.29,15.56,1.33
33.96,14.39,1.82
31.54,12.72,1.32
32.63,13.45,1.22
33.56,12.38,1.34
35.09,11.94,1.35
32.51,11.81,1.25
31.65,11.39,1.25
33.5,11.37,1.1
33.12,9.97,1.15
31.37,9.53,1.32
30.09,9.6,1.47
30.82,10.13,1.58
32.36,10.04,1.67
31.31,9.49,1.48
32.05,8.93,1.7
30.43,9.36,2.71
35.34,8.84,1.95
33.62,9.1,1.06
36.99,9.09,0.92
37.74,8.92,1.32
33.33,8.95,1.09
30.87,8.74,2.84
31.36,8.44,1.75
31.13,8.99,1
33.94,8.88,1.23
31.87,9.11,1.68
36.4,9,3.84
32.55,9.35,2.1
36.15,9.04,2.31
31.55,9.99,2.32
27.72,9.25,3.87
26.89,8.94,2.26
29.02,9.11,2.62
26.82,8.23,6.04
23.67,8.8,2.77
24.26,9.22,2.88
26.61,8.99,2.74
28.09,9.23,3.16
23.62,9.15,3.41
26.69,8.77,2.78
28.3,8.22,2.75
30.11,9.29,2.6
30.15,8.76,3.14
25.77,8.76,4.28
31.22,9.06,3.3
30.85,8.9,3.18
28.76,9.39,3.73
31.1,9.76,2.21
32.43,9.29,2.91
31.05,9.17,2.98
32.37,8.95,2.34
30.62,9.51,2.27
30.23,9.88,3.17
29.85,9.77,4
35.46,10.38,2.33
28.59,10.64,3.41
30.27,9.62,4.93
28.18,9.98,6.11
27.49,9.69,2.2
27.26,9.73,2.19
27.02,9.78,1.85
28.27,10.48,1.64
27.98,11.25,2.12
26.32,9.36,2.82
28.96,9.16,2.65
25.14,9.22,3.3
24.88,11.2,2.42
25.19,9.97,1.95
24.9,9.78,2.42
29.99,10.25,1.68
27.45,10.03,1.93
27.93,10.95,2.18
27.63,11.48,3.61
28.91,11.87,2.09
30.83,12.07,3.47
31.1,11.49,5.2
36.09,11.56,7.19
33.17,10.57,4.14
